country_id,country_name,year,air_pollution
32,Argentina,2000,17.42603648416
51,Armenia,2000,27.498645550379
36,Australia,2000,7.45743282688833
40,Austria,2000,19.150573887216
56,Belgium,2000,19.4896989178456
48,Bahrain,2000,68.651142599615
112,Belarus,2000,27.8003375928239
84,Belize,2000,27.2006760965356
76,Brazil,2000,15.5723815602196
124,Canada,2000,9.79565640755295
756,Switzerland,2000,16.3078475386111
152,Chile,2000,28.0634138695562
156,China,2000,50.299193183916
170,Colombia,2000,25.3637180153758
188,Costa Rica,2000,21.3843731146703
192,Cuba,2000,21.3974205669767
196,Cyprus,2000,20.3070328790346
276,Germany,2000,18.149579025919
208,Denmark,2000,15.647778890228
218,Ecuador,2000,43.2126751514231
724,Spain,2000,16.0217993612102
233,Estonia,2000,11.8151297405178
246,Finland,2000,8.00512199497353
250,France (metropolitan),2000,16.0892961813444
826,United Kingdom,2000,16.1050537226586
268,Georgia,2000,15.6475442783829
300,Greece,2000,24.3887788903302
320,Guatemala,2000,37.474592031175
328,Guyana,2000,28.0653087700277
191,Croatia,2000,22.6073432457522
348,Hungary,2000,20.6558178895561
356,India,2000,61.511449777005
372,Ireland,2000,12.5487773722991
352,Iceland,2000,7.40415684416645
376,Israel,2000,25.3125485744393
380,Italy,2000,26.2472831488489
392,Japan,2000,13.1620736916056
417,Kyrgyzstan,2000,23.0380260652668
410,South Korea,2000,25.4379884924397
414,Kuwait,2000,59.028420443273
440,Lithuania,2000,18.083013444041
442,Luxembourg,2000,14.2553412411783
428,Latvia,2000,22.4970757971078
484,Mexico,2000,30.8563115445805
470,Malta,2000,17.5416711633875
480,Mauritius,2000,9.31039577146635
528,The Netherlands,2000,19.1568334196667
578,Norway,2000,10.4740973033701
554,New Zealand,2000,6.92139404317208
591,Panama,2000,19.0802656518594
608,Philippines,2000,31.5189595125717
616,Poland,2000,25.7907754089004
620,Portugal,2000,13.9602733944466
600,Paraguay,2000,13.555186049266
634,Qatar,2000,88.44531877478
642,Romania,2000,20.4022118211382
702,Singapore,2000,19.7999719213474
703,Slovakia,2000,21.3868373355091
705,Slovenia,2000,20.7629407401817
752,Sweden,2000,9.69526031154178
764,Thailand,2000,40.3912275638682
792,Türkiye,2000,22.4972966388602
800,Uganda,2000,33.2213088306491
858,Uruguay,2000,12.9448464771497
840,USA,2000,12.756295073002
860,Uzbekistan,2000,30.7136220978205
710,South Africa,2000,24.3617741485462
32,Argentina,2001,17.183873772998
51,Armenia,2001,27.4828126677005
36,Australia,2001,7.38895346175728
40,Austria,2001,18.9470662603211
56,Belgium,2001,19.0777373545756
48,Bahrain,2001,70.059687295923
112,Belarus,2001,26.825169286119
84,Belize,2001,26.9932961587769
76,Brazil,2001,15.5528127146329
124,Canada,2001,9.76086476457905
756,Switzerland,2001,15.9380919403534
152,Chile,2001,27.8750247662775
156,China,2001,50.6280489574036
170,Colombia,2001,24.8245779055363
188,Costa Rica,2001,21.2503622180599
192,Cuba,2001,21.206308539373
196,Cyprus,2001,20.1814093119104
276,Germany,2001,17.8080564787948
208,Denmark,2001,15.395412363636
218,Ecuador,2001,43.1110715739064
724,Spain,2001,15.8475793759903
233,Estonia,2001,11.3922862404784
246,Finland,2001,7.91863988097532
250,France (metropolitan),2001,15.8802927901306
826,United Kingdom,2001,15.8242932230906
268,Georgia,2001,15.4858796277587
300,Greece,2001,24.1488338817268
320,Guatemala,2001,36.5460733532087
328,Guyana,2001,27.6749218196649
191,Croatia,2001,22.9227100117706
348,Hungary,2001,20.8202477715374
356,India,2001,61.9068347721157
372,Ireland,2001,12.4264833741692
352,Iceland,2001,7.36401350857719
376,Israel,2001,25.2234272492841
380,Italy,2001,25.8127411843815
392,Japan,2001,13.0837219689452
417,Kyrgyzstan,2001,22.9429163032767
410,South Korea,2001,25.3445724763114
414,Kuwait,2001,60.4227305514236
440,Lithuania,2001,17.3276190793162
442,Luxembourg,2001,14.0914256061452
428,Latvia,2001,21.6067918371829
484,Mexico,2001,29.9444098873823
470,Malta,2001,17.3739401649506
480,Mauritius,2001,9.56066660623812
528,The Netherlands,2001,18.809077267801
578,Norway,2001,10.1879455331557
554,New Zealand,2001,6.85958648572071
591,Panama,2001,18.9634872971769
608,Philippines,2001,31.2923190881475
616,Poland,2001,26.0449129857227
620,Portugal,2001,13.849569678602
600,Paraguay,2001,13.4456009940226
634,Qatar,2001,90.0738424478758
642,Romania,2001,20.5727453427073
702,Singapore,2001,19.3142628589039
703,Slovakia,2001,21.6278516283468
705,Slovenia,2001,20.9341970231562
752,Sweden,2001,9.49612942440913
764,Thailand,2001,40.3506543167023
792,Türkiye,2001,22.393302857514
800,Uganda,2001,32.9681223741883
858,Uruguay,2001,12.7668375831259
840,USA,2001,12.6049538802777
860,Uzbekistan,2001,30.1330949818927
710,South Africa,2001,24.0639428788771
32,Argentina,2002,16.9235142685328
51,Armenia,2002,27.4848026556976
36,Australia,2002,7.26633772021658
40,Austria,2002,18.7785099320798
56,Belgium,2002,18.5922693848995
48,Bahrain,2002,71.9559586005481
112,Belarus,2002,25.3708864392258
84,Belize,2002,26.5202776749369
76,Brazil,2002,15.5176007943732
124,Canada,2002,9.72810868247048
756,Switzerland,2002,15.5090403870949
152,Chile,2002,27.5666336657884
156,China,2002,50.9679256961335
170,Colombia,2002,23.929353614622
188,Costa Rica,2002,21.0286242452936
192,Cuba,2002,20.7560611503545
196,Cyprus,2002,20.0359615757853
276,Germany,2002,17.4251209663774
208,Denmark,2002,15.0817525522341
218,Ecuador,2002,43.0813974104958
724,Spain,2002,15.5644729498625
