country_id,country_name,year,diabetes
380,Italy,2019,0.0684293542850645
380,Italy,2020,0.0697497902493152
380,Italy,2021,0.0711636451090442
380,Italy,2022,0.0726563713995332
392,Japan,2000,0.06352087802149685
392,Japan,2001,0.0622566194293461
392,Japan,2002,0.061082451315195
392,Japan,2003,0.059981731861265
392,Japan,2004,0.05895193181255035
392,Japan,2005,0.058037296334559
392,Japan,2006,0.0573251549702228
392,Japan,2007,0.05676713015609035
392,Japan,2008,0.056373686805584605
392,Japan,2009,0.0561278000335785
392,Japan,2010,0.05598761054059395
392,Japan,2011,0.05596997785456685
392,Japan,2012,0.05611509418793274
392,Japan,2013,0.056431484503175346
392,Japan,2014,0.056896166221615696
392,Japan,2015,0.05750646290870985
392,Japan,2016,0.05823848721396779
392,Japan,2017,0.05904614842832005
392,Japan,2018,0.0599171898860377
392,Japan,2019,0.0608575640217882
392,Japan,2020,0.061890045090530046
392,Japan,2021,0.06299322349343354
392,Japan,2022,0.064165650268552
414,Kuwait,2000,0.2060808624264795
414,Kuwait,2001,0.21045583992094902
414,Kuwait,2002,0.2145936786633285
414,Kuwait,2003,0.21847998634826699
414,Kuwait,2004,0.2222065021369075
414,Kuwait,2005,0.22581432952333802
414,Kuwait,2006,0.229351082094738
414,Kuwait,2007,0.23279783887768152
414,Kuwait,2008,0.2362009968544955
414,Kuwait,2009,0.239595912053382
414,Kuwait,2010,0.24278845040209002
414,Kuwait,2011,0.2456653139334275
414,Kuwait,2012,0.24825780746884699
414,Kuwait,2013,0.2506870391022355
414,Kuwait,2014,0.2530833727812245
414,Kuwait,2015,0.255411992501413
414,Kuwait,2016,0.2577344364399315
414,Kuwait,2017,0.259082445967392
414,Kuwait,2018,0.2595114969509565
414,Kuwait,2019,0.259735905256793
414,Kuwait,2020,0.26006382614094303
414,Kuwait,2021,0.26045267683623496
414,Kuwait,2022,0.26094361132328653
417,Kyrgyzstan,2000,0.08173958822783225
417,Kyrgyzstan,2001,0.08302052894612799
417,Kyrgyzstan,2002,0.08424278911616286
417,Kyrgyzstan,2003,0.08538076953790315
417,Kyrgyzstan,2004,0.08646520559652116
417,Kyrgyzstan,2005,0.08749960025404145
417,Kyrgyzstan,2006,0.08849460877944296
417,Kyrgyzstan,2007,0.0894649441891967
417,Kyrgyzstan,2008,0.09043918122186805
417,Kyrgyzstan,2009,0.09143743525782719
417,Kyrgyzstan,2010,0.09245438615212095
417,Kyrgyzstan,2011,0.09349330148309379
417,Kyrgyzstan,2012,0.09462458230789385
417,Kyrgyzstan,2013,0.09593167425175719
417,Kyrgyzstan,2014,0.09749891402139385
417,Kyrgyzstan,2015,0.0993700893110364
417,Kyrgyzstan,2016,0.10156171894627965
417,Kyrgyzstan,2017,0.10390468743613429
417,Kyrgyzstan,2018,0.1063800726803941
417,Kyrgyzstan,2019,0.1091142055218835
417,Kyrgyzstan,2020,0.112048182403175
417,Kyrgyzstan,2021,0.115192580206985
417,Kyrgyzstan,2022,0.1185520327281415
428,Latvia,2000,0.05395769777221935
428,Latvia,2001,0.0548956038918066
428,Latvia,2002,0.055886450729359646
428,Latvia,2003,0.05691426322308645
428,Latvia,2004,0.057993369528683406
428,Latvia,2005,0.0591354513839189
428,Latvia,2006,0.0603373395017404
428,Latvia,2007,0.0615867705359853
428,Latvia,2008,0.0628878895033114
428,Latvia,2009,0.0642444991643398
428,Latvia,2010,0.06566608896220805
428,Latvia,2011,0.067153383289423
428,Latvia,2012,0.06870041406207336
428,Latvia,2013,0.07034378675607444
428,Latvia,2014,0.07210325818050345
428,Latvia,2015,0.07401129308500495
428,Latvia,2016,0.0761064386848502
428,Latvia,2017,0.0783834093564605
428,Latvia,2018,0.0808323825841345
428,Latvia,2019,0.083497709810391
428,Latvia,2020,0.0863778740711105
428,Latvia,2021,0.08945795807643295
428,Latvia,2022,0.0927582947372013
440,Lithuania,2000,0.06913194615172236
440,Lithuania,2001,0.0706026210274964
440,Lithuania,2002,0.0721136857763138
440,Lithuania,2003,0.07366937522371314
440,Lithuania,2004,0.0752705766199073
440,Lithuania,2005,0.07691473427343805
440,Lithuania,2006,0.078573357463752
440,Lithuania,2007,0.08023449529078716
440,Lithuania,2008,0.081864374648143
440,Lithuania,2009,0.08349414777710575
440,Lithuania,2010,0.08511533764840525
440,Lithuania,2011,0.0867366989087563
440,Lithuania,2012,0.088368205162037
440,Lithuania,2013,0.09004683185533521
440,Lithuania,2014,0.09179168983110805
440,Lithuania,2015,0.0936364698616119
440,Lithuania,2016,0.09564346579594545
440,Lithuania,2017,0.09780625326317591
440,Lithuania,2018,0.10012621966207219
440,Lithuania,2019,0.1026559607344895
440,Lithuania,2020,0.1053788252029305
440,Lithuania,2021,0.1083051662967115
440,Lithuania,2022,0.11143062762564701
442,Luxembourg,2000,0.051098036050096246
442,Luxembourg,2001,0.05165233091706315
442,Luxembourg,2002,0.05222216662020865
442,Luxembourg,2003,0.05277950384853415
442,Luxembourg,2004,0.0533324849921701
442,Luxembourg,2005,0.0538713250053501
442,Luxembourg,2006,0.054376555862428844
442,Luxembourg,2007,0.05481861868516635
442,Luxembourg,2008,0.0552050614786286
442,Luxembourg,2009,0.0555166260470403
442,Luxembourg,2010,0.05572111690919815
442,Luxembourg,2011,0.0558469807509681
442,Luxembourg,2012,0.05593023103244445
442,Luxembourg,2013,0.056008677629257306
442,Luxembourg,2014,0.0561084048439484
442,Luxembourg,2015,0.056246003807404604
442,Luxembourg,2016,0.056421119793508445
442,Luxembourg,2017,0.0566473815085037
442,Luxembourg,2018,0.05696620967496775
442,Luxembourg,2019,0.05738565891837295
442,Luxembourg,2020,0.057904944224061644
442,Luxembourg,2021,0.05852398299773315
442,Luxembourg,2022,0.059238026371041544
470,Malta,2000,0.0816098541676137
