country_id,country_name,year,gdp_per_capita
32,Argentina,2000,7637.01489203628
51,Armenia,2000,593.450581742282
36,Australia,2000,21870.4159669594
40,Austria,2000,24487.2974685956
56,Belgium,2000,23098.8865077401
48,Bahrain,2000,14214.4836839343
112,Belarus,2000,1276.28038121269
84,Belize,2000,4729.67080428075
76,Brazil,2000,3766.54811466032
124,Canada,2000,24271.0020563821
756,Switzerland,2000,38865.021939688
152,Chile,2000,5052.99245768719
156,China,2000,959.360431369138
170,Colombia,2000,2555.00751039968
188,Costa Rica,2000,3812.75388284924
192,Cuba,2000,2751.3817714814
196,Cyprus,2000,14388.3525390625
203,Czechia,2000,6062.92152842793
276,Germany,2000,23925.8559901991
208,Denmark,2000,30722.0251837567
218,Ecuador,2000,1382.23421759909
724,Spain,2000,14743.2671031455
233,Estonia,2000,4070.60902410208
246,Finland,2000,24335.9225082659
250,France (metropolitan),2000,22340.5939516217
826,United Kingdom,2000,28280.926786099
268,Georgia,2000,749.908534993961
300,Greece,2000,11638.2010697215
320,Guatemala,2000,1648.96578971559
328,Guyana,2000,931.796651718955
191,Croatia,2000,4953.65158789022
348,Hungary,2000,4624.28165670295
356,India,2000,442.750218937263
372,Ireland,2000,26334.5672050501
352,Iceland,2000,32096.3722613695
376,Israel,2000,21660.840378309
380,Italy,2000,20190.0035636084
392,Japan,2000,39169.3595701504
417,Kyrgyzstan,2000,279.621767006739
410,South Korea,2000,12257.0206622345
414,Kuwait,2000,19296.3471698729
440,Lithuania,2000,3300.63634928559
442,Luxembourg,2000,48659.5988753233
428,Latvia,2000,3278.17896440803
498,Moldova,2000,440.538683980372
484,Mexico,2000,7524.02713693678
470,Malta,2000,10348.4865480967
480,Mauritius,2000,3981.98343249582
558,Nicaragua,2000,1017.3124434882
528,The Netherlands,2000,26225.1697734149
578,Norway,2000,38178.2368777076
554,New Zealand,2000,13641.1027183822
591,Panama,2000,3975.09308659503
608,Philippines,2000,1050.79272954492
616,Poland,2000,4520.64100449111
630,Puerto Rico,2000,16192.1269719638
620,Portugal,2000,11526.3720667968
600,Paraguay,2000,1736.11729210765
634,Qatar,2000,27535.182940934
642,Romania,2000,1659.92904910528
702,Singapore,2000,23852.8389514753
688,Serbia,2000,974.725469278615
703,Slovakia,2000,5421.6448441887
705,Slovenia,2000,10135.7219109212
752,Sweden,2000,29632.7736101599
764,Thailand,2000,2005.97694514234
792,Türkiye,2000,4192.44316738494
800,Uganda,2000,258.050338731086
858,Uruguay,2000,6987.70098766257
840,USA,2000,36329.9702595751
860,Uzbekistan,2000,555.149231099186
862,Venezuela,2000,4776.2816763938
710,South Africa,2000,3217.84693448467
32,Argentina,2001,7141.47507662826
51,Armenia,2001,659.588988535629
36,Australia,2001,19695.7297379144
40,Austria,2001,24430.495982841
56,Belgium,2001,23015.0712632462
48,Bahrain,2001,13573.2339887597
112,Belarus,2001,1244.37318523431
84,Belize,2001,4721.81625660785
76,Brazil,2001,3176.28935747524
124,Canada,2001,23822.096210932
756,Switzerland,2001,39638.7911061864
152,Chile,2001,4563.5952986689
156,China,2001,1053.11231442789
170,Colombia,2001,2472.99084035833
188,Costa Rica,2001,3985.12984506207
192,Cuba,2001,2842.96704310394
196,Cyprus,2001,14821.44921875
203,Czechia,2001,6669.07494847497
276,Germany,2001,23878.3641471651
208,Denmark,2001,30768.4775471112
218,Ecuador,2001,1791.30359685037
724,Spain,2001,15368.2337984435
233,Estonia,2001,4502.66614992392
246,Finland,2001,24965.202996776
250,France (metropolitan),2001,22331.7948343036
826,United Kingdom,2001,27906.5695029641
268,Georgia,2001,801.98383707929
300,Greece,2001,12156.9572824221
320,Guatemala,2001,1537.68663578252
328,Guyana,2001,931.574723847673
191,Croatia,2001,5364.83824691607
348,Hungary,2001,5276.03318905496
356,India,2001,450.357900514128
372,Ireland,2001,28282.409882073
352,Iceland,2001,28897.4439396908
376,Israel,2001,20907.1143041538
380,Italy,2001,20571.4787737914
392,Japan,2001,34406.1824638092
417,Kyrgyzstan,2001,308.411326685178
410,South Korea,2001,11561.2071745115
414,Kuwait,2001,17374.2318664227
440,Lithuania,2001,3532.52787363242
442,Luxembourg,2001,48440.1420151355
428,Latvia,2001,3504.61829462397
498,Moldova,2001,507.404076252819
484,Mexico,2001,7952.7647961764
470,Malta,2001,10357.7040358668
480,Mauritius,2001,3908.55694927435
558,Nicaragua,2001,1051.874235891
528,The Netherlands,2001,26955.7128032278
578,Norway,2001,38601.897639231
554,New Zealand,2001,13882.8568268586
591,Panama,2001,3991.7767076924
608,Philippines,2001,969.530611744453
616,Poland,2001,5015.23790036613
630,Puerto Rico,2001,18123.1987019918
620,Portugal,2001,11734.7649743954
600,Paraguay,2001,1637.68615122932
634,Qatar,2001,25870.7991864314
642,Romania,2001,1825.19299373184
702,Singapore,2001,21699.7414868907
688,Serbia,2001,1812.42088281393
703,Slovakia,2001,5712.47802761654
705,Slovenia,2001,10375.6255869861
752,Sweden,2001,27259.4806735435
764,Thailand,2001,1889.93432467144
792,Türkiye,2001,3045.55413956926
800,Uganda,2001,236.021188853993
858,Uruguay,2001,6382.76104740859
840,USA,2001,37133.6203973517
860,Uzbekistan,2001,454.415812256778
862,Venezuela,2001,4920.39313600453
710,South Africa,2001,2847.15191945908
32,Argentina,2002,2569.69963519124
51,Armenia,2002,742.651118319819
36,Australia,2002,20301.8431713256
40,Austria,2002,26334.862215032
56,Belgium,2002,25006.191397109
48,Bahrain,2002,13501.4708801425
112,Belarus,2002,1479.38066337175
84,Belize,2002,4861.74314184267
76,Brazil,2002,2855.94018885769
124,Canada,2002,24256.0192337185
756,Switzerland,2002,42458.7384679187
152,Chile,2002,4430.84741157069
156,China,2002,1148.51425710711
170,Colombia,2002,2428.92969771584
188,Costa Rica,2002,4067.71851429092
192,Cuba,2002,3005.21104247868
196,Cyprus,2002,16093.2158203125
203,Czechia,2002,8101.26018588111
276,Germany,2002,25486.5942008748
208,Denmark,2002,33257.1622586509
218,Ecuador,2002,2059.1585535974
724,Spain,2002,17111.0685058941
233,Estonia,2002,5343.18310760735
246,Finland,2002,26989.389260959
250,France (metropolitan),2002,24144.5727019529
826,United Kingdom,2002,30077.741432188
268,Georgia,2002,853.526171868939
300,Greece,2002,13782.195640943
320,Guatemala,2002,1669.33517469705
328,Guyana,2002,950.866932470993
191,Croatia,2002,6219.58164143945
348,Hungary,2002,6655.33300865319
356,India,2002,469.149928973927
372,Ireland,2002,32705.4345565698
352,Iceland,2002,32409.2161491753
376,Israel,2002,19034.3175740071
380,Italy,2002,22463.5222129968
392,Japan,2002,32820.7936433254
417,Kyrgyzstan,2002,321.726775366804
410,South Korea,2002,13165.08362497
414,Kuwait,2002,18512.7523035862
440,Lithuania,2002,4148.13091485015
442,Luxembourg,2002,53005.7339209179
428,Latvia,2002,4003.60935783538
498,Moldova,2002,570.799866188293
484,Mexico,2002,7983.03398483743
470,Malta,2002,11251.2060862043
480,Mauritius,2002,4073.06053055903
558,Nicaragua,2002,1014.3339042591
528,The Netherlands,2002,29446.5330872868
578,Norway,2002,43170.557174499
554,New Zealand,2002,16874.1874918196
591,Panama,2002,4090.58617397129
608,Philippines,2002,1014.90879320106
616,Poland,2002,5223.45178967082
630,Puerto Rico,2002,18731.4593897378
620,Portugal,2002,12936.6928204482
600,Paraguay,2002,1367.76506935997
634,Qatar,2002,27226.6593510117
642,Romania,2002,2119.85509684554
702,Singapore,2002,22159.8373710639
688,Serbia,2002,2390.73459447107
703,Slovakia,2002,6554.62808369461
705,Slovenia,2002,11639.1297780477
752,Sweden,2002,29957.9387652616
764,Thailand,2002,2089.75183111554
792,Türkiye,2002,3583.19745897158
800,Uganda,2002,241.984688408335
858,Uruguay,2002,4149.76140312687
840,USA,2002,37997.7424300242
860,Uzbekistan,2002,381.409296889283
862,Venezuela,2002,3652.09896501865
710,South Africa,2002,2688.23676032806
32,Argentina,2003,3320.47775133903
51,Armenia,2003,882.030167695474
36,Australia,2003,23718.1338501868
40,Austria,2003,32110.1159661425
56,Belgium,2003,30655.2092679024
48,Bahrain,2003,14486.0269029822
112,Belarus,2003,1819.52653114699
84,Belize,2003,4962.08962013799
76,Brazil,2003,3090.6070097455
124,Canada,2003,28301.8645937428
756,Switzerland,2003,49335.7456291067
152,Chile,2003,4773.40177520754
156,China,2003,1288.63749134336
170,Colombia,2003,2311.94218760291
188,Costa Rica,2003,4173.14856415514
192,Cuba,2003,3202.78109865637
196,Cyprus,2003,20252.24609375
203,Czechia,2003,9852.45677945801
276,Germany,2003,30711.1022511331
208,Denmark,2003,40519.0974905924
218,Ecuador,2003,2315.62215223014
724,Spain,2003,21522.0170990262
233,Estonia,2003,7205.40703313243
246,Finland,2003,32920.0857192568
250,France (metropolitan),2003,29479.5222101175
826,United Kingdom,2003,34442.6875402308
268,Georgia,2003,1010.03151630868
300,Greece,2003,18020.612039764
320,Guatemala,2003,1722.54701910774
328,Guyana,2003,973.742598054188
191,Croatia,2003,8190.11135193887
348,Hungary,2003,8419.43087098103
356,India,2003,544.143133545002
372,Ireland,2003,41203.5295847568
352,Iceland,2003,39476.6978486684
376,Israel,2003,19629.4145135202
380,Italy,2003,27618.9417740066
392,Japan,2003,35387.0374203599
417,Kyrgyzstan,2003,380.505828812441
410,South Korea,2003,14672.8057539465
414,Kuwait,2003,22690.655175144
440,Lithuania,2003,5507.47434187652
442,Luxembourg,2003,65689.3214536911
428,Latvia,2003,4914.57992829302
498,Moldova,2003,682.319095965299
484,Mexico,2003,7434.0746485155
470,Malta,2003,13593.974199672
480,Mauritius,2003,4858.26575549747
558,Nicaragua,2003,1021.35216668794
528,The Netherlands,2003,35896.7504630706
578,Norway,2003,50250.3298214345
554,New Zealand,2003,21913.7081719961
591,Panama,2003,4264.66428846636
608,Philippines,2003,1027.2301192843
616,Poland,2003,5720.81366178104
630,Puerto Rico,2003,19557.1202492358
620,Portugal,2003,15797.7821340276
600,Paraguay,2003,1443.99885236205
634,Qatar,2003,31602.470865136
642,Romania,2003,2679.40626016154
702,Singapore,2003,23730.3840054566
688,Serbia,2003,3153.9011312754
703,Slovakia,2003,8675.39633696465
705,Slovenia,2003,14711.674874253
752,Sweden,2003,37292.4214343004
764,Thailand,2003,2347.54001286066
792,Türkiye,2003,4637.88218501529
800,Uganda,2003,250.71543664681
858,Uruguay,2003,3671.12329256883
840,USA,2003,39490.3023903176
860,Uzbekistan,2003,394.164028897235
862,Venezuela,2003,3229.50557082079
710,South Africa,2003,4062.21755993786
32,Argentina,2004,4242.02099089422
51,Armenia,2004,1130.08791444158
36,Australia,2004,30836.7306824685
40,Austria,2004,36614.2506533707
56,Belgium,2004,35429.4077933344
48,Bahrain,2004,15963.9493171617
112,Belarus,2004,2378.33700470129
84,Belize,2004,5156.09817143194
76,Brazil,2004,3663.823188064
124,Canada,2004,32145.5412620217
756,Switzerland,2004,54659.4571488233
152,Chile,2004,6120.59152052304
156,China,2004,1508.66791560781
170,Colombia,2004,2818.57195413044
188,Costa Rica,2004,4431.0117207843
192,Cuba,2004,3399.21962893402
196,Cyprus,2004,23792.619140625
203,Czechia,2004,11782.5546676117
276,Germany,2004,34566.7359143735
208,Denmark,2004,46625.050098011
218,Ecuador,2004,2586.20914663347
724,Spain,2004,24925.0267844576
233,Estonia,2004,8916.0728274602
246,Finland,2004,37768.1334202029
250,France (metropolitan),2004,33644.9282220364
826,United Kingdom,2004,40366.8886650968
268,Georgia,2004,1305.04748557208
300,Greece,2004,21449.2552764245
320,Guatemala,2004,1840.91184884
328,Guyana,2004,1033.31030902188
191,Croatia,2004,9718.97322801967
348,Hungary,2004,10301.7033946743
356,India,2004,624.258826510066
372,Ireland,2004,47754.2023194244
352,Iceland,2004,47334.9306537723
376,Israel,2004,20546.2291718399
380,Italy,2004,31425.8208728669
392,Japan,2004,38298.9801712303
