Model,MAE,R2
RandomForestRegressor_Incidence,0.2739542063628755,0.9960235737614411
XGBRegressor_Incidence,0.9442231521552845,0.9824972603246518
RandomForestRegressor_Mortality,0.1388010979175006,0.9967597137501972
XGBRegressor_Mortality,0.5080945859772615,0.9781621077843635
